user_id,item_id,interaction_type,rating,timestamp,session_id,device_type,duration_seconds
user_000740,item_001078,view,3.9,2025-01-17T21:31:32,session_4690,tablet,
user_000358,item_001244,view,3.3,2025-05-20T00:19:50,session_4731,mobile,
user_000056,item_001116,view,3.3,2025-11-16T20:34:38,session_7215,tablet,
user_000700,item_000033,view,2.1,2025-02-10T18:35:30,session_1854,desktop,
user_000784,item_000693,watch,2.7,2025-04-22T22:08:27,session_7993,tablet,1158.0
user_000118,item_000083,watch,3.7,2025-01-15T22:57:39,session_7024,desktop,1616.0
user_000351,item_000140,like,3.7,2025-11-05T18:03:15,session_4801,mobile,
user_000602,item_000776,watch,2.2,2025-11-20T23:47:48,session_9785,tablet,405.0
user_000015,item_000317,view,4.7,2025-04-30T12:15:52,session_1931,mobile,
user_000058,item_000676,watch,5.0,2025-11-25T21:18:02,session_6146,desktop,4964.0
user_000670,item_001174,watch,4.2,2025-02-05T23:18:08,session_7517,desktop,5416.0
user_000125,item_000890,view,3.7,2025-10-06T16:04:16,session_9907,mobile,
user_000506,item_000073,view,3.8,2025-09-28T18:52:22,session_4609,desktop,
user_000730,item_000799,purchase,3.7,2025-01-07T22:23:49,session_5795,tablet,
user_000250,item_000758,like,4.2,2025-10-03T15:17:20,session_9870,tablet,
user_000106,item_001421,share,4.4,2025-08-26T17:45:39,session_8966,desktop,
user_000080,item_001117,view,4.9,2025-03-21T19:53:33,session_4777,desktop,
user_000759,item_001439,view,2.7,2025-03-13T13:07:23,session_3325,mobile,
user_000240,item_000254,like,3.3,2025-04-13T07:41:48,session_8434,mobile,
user_000021,item_001346,like,5.0,2025-07-12T11:02:17,session_5554,tablet,
user_000393,item_001181,like,5.0,2025-10-08T20:05:03,session_5572,tablet,
user_000393,item_001276,view,4.4,2025-09-01T16:55:24,session_7302,desktop,
user_000045,item_000909,view,2.4,2025-04-14T13:11:42,session_8062,tablet,
user_000053,item_000187,purchase,4.3,2025-02-25T07:02:34,session_6698,mobile,
user_000623,item_000059,purchase,5.0,2025-02-09T03:21:59,session_5301,tablet,
user_000221,item_000892,watch,4.7,2025-12-15T19:21:46,session_8111,desktop,6441.0
user_000746,item_001300,view,4.2,2025-07-22T07:48:03,session_2789,tablet,
user_000397,item_001385,purchase,4.8,2025-02-05T14:59:43,session_5709,tablet,
user_000474,item_001143,view,3.3,2025-07-16T20:46:36,session_9501,desktop,
user_000166,item_001215,watch,3.2,2025-07-19T23:29:47,session_4903,mobile,154.0
user_000287,item_000315,view,4.2,2025-04-08T18:17:05,session_5094,tablet,
user_000302,item_001225,view,2.6,2025-12-10T20:25:02,session_5493,desktop,
user_000275,item_000572,purchase,4.4,2025-10-20T19:50:41,session_1202,mobile,
user_000314,item_001000,view,5.0,2025-07-28T06:20:53,session_5333,mobile,
user_000454,item_000261,watch,2.9,2025-03-02T22:28:00,session_8642,mobile,2968.0
user_000491,item_000174,like,4.0,2025-04-22T23:35:13,session_7694,mobile,
user_000593,item_001177,like,4.4,2025-11-21T17:17:57,session_6145,mobile,
user_000451,item_001130,view,2.7,2025-07-21T06:16:55,session_9108,mobile,
user_000232,item_001203,purchase,4.6,2025-01-17T12:09:55,session_1812,mobile,
user_000117,item_000966,view,3.0,2025-01-09T23:11:43,session_9302,desktop,
user_000593,item_000179,watch,3.3,2025-11-25T10:35:45,session_4734,mobile,5883.0
user_000265,item_001451,watch,1.5,2025-01-17T19:01:43,session_6789,tablet,5914.0
user_000045,item_000829,view,3.4,2025-05-19T23:22:06,session_2269,tablet,
user_000454,item_001072,purchase,4.1,2025-02-04T06:15:13,session_6337,tablet,
user_000380,item_000619,view,3.8,2025-05-22T00:43:26,session_2169,tablet,
