user_id,age_group,gender,location,signup_date,preferred_genres,activity_level,subscription_type
user_000000,25-34,F,FR,2025-04-11,"[""Action"", ""Thriller"", ""Comedy"", ""Documentary"", ""Drama"", ""Adventure"", ""Family"", ""Romance""]",medium,free
user_000001,25-34,M,KR,2024-01-18,"[""Action"", ""Thriller"", ""Comedy"", ""Documentary"", ""Drama"", ""War"", ""Science Fiction"", ""Romance""]",medium,premium
user_000002,18-24,Other,KR,2024-07-19,"[""Action"", ""Crime"", ""Animation"", ""Comedy"", ""Documentary"", ""Drama"", ""Science Fiction"", ""Horror""]",low,free
user_000003,25-34,M,CA,2024-06-11,"[""Action"", ""Thriller"", ""Animation"", ""History"", ""Comedy"", ""Music"", ""Drama"", ""War"", ""Science Fiction"", ""Romance""]",medium,free
user_000004,45-54,M,US,2025-06-21,"[""Mystery"", ""Action"", ""Thriller"", ""Documentary"", ""Drama"", ""War"", ""Science Fiction"", ""Adventure"", ""History""]",medium,free
user_000005,55-64,M,CA,2025-05-08,"[""Mystery"", ""Action"", ""Thriller"", ""Crime"", ""Documentary"", ""Drama"", ""War"", ""Science Fiction"", ""History""]",medium,free
user_000006,45-54,M,US,2025-10-13,"[""Mystery"", ""Action"", ""Thriller"", ""Romance"", ""Documentary"", ""Drama"", ""War"", ""Science Fiction"", ""History""]",high,premium
user_000007,55-64,M,US,2024-03-03,"[""Mystery"", ""Action"", ""Thriller"", ""Romance"", ""Crime"", ""Documentary"", ""Drama"", ""War"", ""Science Fiction"", ""Adventure"", ""History""]",medium,free
user_000008,18-24,F,US,2024-11-03,"[""Action"", ""Thriller"", ""Comedy"", ""Music"", ""Drama"", ""Science Fiction"", ""Western"", ""Horror"", ""Family"", ""Romance""]",high,free
user_000009,45-54,M,CA,2024-01-21,"[""Mystery"", ""Action"", ""Thriller"", ""Documentary"", ""Music"", ""Drama"", ""War"", ""Science Fiction"", ""History""]",medium,free
user_000010,65+,F,IN,2024-06-07,"[""Action"", ""Animation"", ""History"", ""Comedy"", ""Documentary"", ""Fantasy"", ""Drama"", ""Family"", ""Romance""]",high,free
user_000011,65+,M,US,2025-01-03,"[""Action"", ""Thriller"", ""Documentary"", ""Music"", ""Fantasy"", ""Drama"", ""War"", ""Science Fiction"", ""Horror"", ""Family"", ""History""]",low,free
user_000012,25-34,M,JP,2024-01-19,"[""Action"", ""Thriller"", ""Comedy"", ""Documentary"", ""Drama"", ""War"", ""Science Fiction"", ""Romance""]",medium,free
user_000013,35-44,M,JP,2024-05-24,"[""Action"", ""Thriller"", ""Animation"", ""Documentary"", ""Drama"", ""War"", ""Science Fiction"", ""Western"", ""Family"", ""History""]",low,premium
user_000014,55-64,M,US,2025-04-19,"[""Mystery"", ""Action"", ""Thriller"", ""Animation"", ""Documentary"", ""Fantasy"", ""Drama"", ""War"", ""Science Fiction"", ""History""]",high,premium
user_000015,45-54,F,US,2025-02-01,"[""Mystery"", ""History"", ""Comedy"", ""Documentary"", ""Fantasy"", ""Drama"", ""War"", ""Family"", ""Romance""]",medium,free
user_000016,55-64,F,US,2024-06-09,"[""Mystery"", ""History"", ""Comedy"", ""Documentary"", ""Drama"", ""Science Fiction"", ""Family"", ""Romance""]",low,free
user_000017,25-34,F,DE,2025-03-05,"[""Thriller"", ""History"", ""Comedy"", ""Drama"", ""Western"", ""Adventure"", ""Family"", ""Romance""]",high,free
user_000018,18-24,F,JP,2025-08-13,"[""Action"", ""History"", ""Comedy"", ""Fantasy"", ""Drama"", ""War"", ""Science Fiction"", ""Horror"", ""Family"", ""Romance""]",medium,premium
user_000019,35-44,F,UK,2024-01-04,"[""Action"", ""Crime"", ""History"", ""Comedy"", ""Documentary"", ""Drama"", ""Adventure"", ""Family"", ""Romance""]",low,free
user_000020,18-24,F,US,2025-08-11,"[""Action"", ""Animation"", ""Comedy"", ""Documentary"", ""Fantasy"", ""Drama"", ""Science Fiction"", ""Horror"", ""Family"", ""Romance""]",medium,premium
user_000021,25-34,M,JP,2025-05-24,"[""Action"", ""Thriller"", ""Animation"", ""Comedy"", ""Drama"", ""War"", ""Science Fiction"", ""Romance""]",low,free
user_000022,25-34,M,IN,2024-09-04,"[""Action"", ""Thriller"", ""Comedy"", ""Drama"", ""War"", ""Science Fiction"", ""Horror"", ""Family"", ""Romance""]",high,free
user_000023,55-64,F,US,2024-04-22,"[""Mystery"", ""Animation"", ""History"", ""Comedy"", ""Documentary"", ""Drama"", ""Western"", ""Horror"", ""Family"", ""Romance""]",high,free
user_000024,55-64,F,US,2025-11-29,"[""Mystery"", ""Crime"", ""History"", ""Comedy"", ""Documentary"", ""Fantasy"", ""Drama"", ""Family"", ""Romance""]",low,free
user_000025,35-44,F,KR,2024-09-02,"[""History"", ""Comedy"", ""Documentary"", ""Drama"", ""War"", ""Western"", ""Adventure"", ""Family"", ""Romance""]",low,free
user_000026,35-44,M,US,2024-03-07,"[""Action"", ""Thriller"", ""Romance"", ""Crime"", ""Comedy"", ""Documentary"", ""Drama"", ""War"", ""Science Fiction"", ""Family"", ""History""]",medium,premium
user_000027,25-34,F,FR,2024-03-10,"[""Thriller"", ""Comedy"", ""Drama"", ""Horror"", ""Family"", ""Romance""]",medium,premium
user_000028,65+,M,UK,2025-09-10,"[""Action"", ""Thriller"", ""Romance"", ""Documentary"", ""Fantasy"", ""Drama"", ""War"", ""Science Fiction"", ""Family"", ""History""]",medium,free
user_000029,18-24,F,CA,2025-03-16,"[""Action"", ""Comedy"", ""Drama"", ""Science Fiction"", ""Western"", ""Horror"", ""Family"", ""Romance""]",low,free
user_000030,65+,M,US,2025-08-12,"[""Action"", ""Thriller"", ""Crime"", ""Documentary"", ""Drama"", ""War"", ""Science Fiction"", ""Adventure"", ""Family"", ""History""]",medium,premium
